Date,text,DataScource,Polarity,SentimentScore,Sentiment,Feature
20-07-2016,"\n\n\n\n\n\n\t\t\t\t\tI have a Premiere 4 with the 20.3.1 update (I will have to double check, but I believe so because I see MLB.TV is an app option now). For the past week I have had trouble Netflix. Up until that point, absolutely no problems with the app.",TechReviews,-0.1375,2,Negative,APPS
26-04-2017,"\r\nI will start streaming a movie or TV episode and the pause/play/up buttons do not do anything. The content will play fine, but when it is over I just get a black screen and I have to press the Tivo button to get back to the Tivo Menu. If I go back into Netflix, it loads and I can play content but the same issues happen. I have to reset the Tivo in order for Netflix to work properly again.",TechReviews,0.041666667,3,Neutral,APPS
26-04-2017,"\r\nIf I push the Tivo button and return home, I can go back into NetFlix and watch the next episode, but the load times make this a poor work around.\n\t\t\t\t\t",TechReviews,-0.133333333,2,Negative,APPS
26-04-2017,\n\t\t\t\t\t\n\n\n\n\n\n\n\t\t\t\t\tAn people wonder why I am leery of the 'cloud'.  There has been a total lack of transparency about this outage.  The Netflix twitter ,TechReviews,0,3,Neutral,APPS
26-04-2017,\r\nI wonder if the TiVo and Netflix issue are related?,TechReviews,0,3,Neutral,APPS
26-04-2017,An people wonder why I am leery of the 'cloud'.  There has been a total lack of transparency about this outage.  The Netflix twitter ,TechReviews,0,3,Neutral,APPS
26-04-2017,\nI wonder if the TiVo and Netflix issue are related?,TechReviews,0,3,Neutral,APPS
26-04-2017,"Yes, issue started after the rollout and has continued after the Tivo/Netflix this past weekend. Last night I had something on pause and Netflix stopped responding. Play, Pause, Up button..none of those did anything. I had to use the Tivo button to escape.",TechReviews,-0.125,2,Negative,APPS
26-04-2017,"\n Matthew: What you may want to try is unchecking Netflix in the Video Provider Listing in Channel Settings. Force a manual connection, and then recheck and try streaming from Netflix once more.""",TechReviews,0.5,5,Very Positive,APPS
26-04-2017,"\r\n Matthew: What you may want to try is unchecking Netflix in the Video Provider Listing in Channel Settings. Force a manual connection, and then recheck and try streaming from Netflix once more.""",TechReviews,0.5,5,Very Positive,APPS
26-04-2017,"\r\nDaughter left netflix paused for hours.. (luckily she shut off the TV) when we came back netflix came out of pause with the play, but then nothing worked.... except Tivo button... ( long wait for the app to shut down ).",TechReviews,0.025555556,3,Neutral,APPS
26-04-2017,"\r\nAs a control I've switched to Netflix on my PS3 with universal remote, no problem.  So it's a TiVo device or server problem.  ",TechReviews,-0.05,2,Negative,APPS
26-04-2017,\r\nPlease fix as Netflix is unusable on TiVo.\n\t\t\t\t\t,TechReviews,0,3,Neutral,APPS
26-04-2017,\n\t\t\t\t\t\n\n\n\n\n\n\n\t\t\t\t\tNot having any netflix issues here...  Been watching kid shows for 3-4 hours straight in the morning\n\t\t\t\t\t,TechReviews,0.2,3,Neutral,APPS
26-04-2017,"\n\t\t\t\t\t\n\n\n\n\n\n\n\t\t\t\t\tI had a similar problem last night, Netflix video playing OK press pause, wait 10 seconds for video to pause, press play wait 10 seconds to play. Press TiVo button and black screen followed be reboot.\n\t\t\t\t\t",TechReviews,0.083333333,3,Neutral,APPS
26-04-2017,"\nAs a control I've switched to Netflix on my PS3 with universal remote, no problem.  So it's a TiVo device or server problem.  ",TechReviews,-0.05,2,Negative,APPS
26-04-2017,\nPlease fix as Netflix is unusable on TiVo.,TechReviews,0,3,Neutral,APPS
26-04-2017,Yeah I always used my ps3 for Netflix but with the amount of Netflix I use I was afraid of burning it out or wearing it out since it runs so hot and I figured I'd just use something that is already on (the TiVo). Then these issues started. The Bluetooth remote control for the ps3 is so responsive.\n\t\t\t\t\t,TechReviews,-0.15,2,Negative,APPS
26-04-2017,"I have the Netflix channel 204 on my TiVo box, I go to the channel, press red and nothing happens.",TechReviews,0,3,Neutral,APPS
26-04-2017,I really like the idea of being able to watch Netflix but is a disappointment everytime I load the channel and...nothing.,TechReviews,0.033333333,3,Neutral,APPS
26-04-2017,e: Netflix not working on TiVo Box,TechReviews,0,3,Neutral,APPS
26-04-2017,"\n\t\t\t\n\t\t\t\t\n\t\t\t\t\t\n\t\t\t\t\t\tdo you have a netflix account? netflix is a different company and requires a different subscription cost. you can sign up online then log in via the apps on the tivo. i think you can sign up just by the netflix app, someone will have to confirm that though.\n\t\t\t\t\t\n\t\t\t\t\n\t\t\t\n\t\t\t\n\t\t\t\t\n\t\t\t\n\t\t\t\n\t\t\t\t",TechReviews,0,3,Neutral,APPS
26-04-2017,"he Netflix channel literally does nothing. Just stays on the black screen with Netflix in the middle, saying press red.",TechReviews,-0.055555556,2,Negative,APPS
26-04-2017,"It's just when we first joined virgin, they said we would have Netflix.",TechReviews,0.25,4,Positive,APPS
26-04-2017,I'm really sorry to hear you're having trouble with Netflix on one of your boxes.,TechReviews,-0.35,2,Negative,APPS
26-04-2017,"What happens if you try and use Netflix by going through the Apps menu? To do this press Home on your remote control and select Apps and Games, All Apps then Netflix.",TechReviews,-0.1,2,Negative,APPS
26-04-2017,"I'm sorry for the problems you're experiencing with Netflix at the moment, are you noticing this issue occurring at all times of the day or just some? What happens on the screen when the app crashes?\xc2\xa0",TechReviews,-0.5,2,Negative,APPS
26-04-2017,Sorry to hear you're having trouble with Netflix.,TechReviews,-0.35,2,Negative,APPS
26-04-2017,"\n\t\t\t\n\t\t\t\t\n\t\t\t\t\t\n\t\t\t\t\t\tMany issues with trying to log in to Netflix because the old email was stored , I closed the account and tried to put a visiting family members in without success, now found you can go into -system information-sign out of Netflix\n\t\t\t\t\t\n\t\t\t\t\n\t\t\t\n\t\t\t\n\t\t\t\t\n\t\t\t\n\t\t\t\n\t\t\t\t",TechReviews,0.1,3,Neutral,APPS
26-04-2017,"Welcome to the Community, I'm very sorry for the problems you're experiencing with the Netflix app on your TiVo box at the moment.\xc2\xa0",TechReviews,0.075,3,Neutral,APPS
26-04-2017,"When you sign out in the settings, are you able to log in with the correct details? If you're not sure of the details, I'd recommend going to their website to click the forgot your password link so Netflix can contact you via email.",TechReviews,0.125,3,Neutral,APPS
26-04-2017,Has anyone else experienced a problem with Netflix launching on their TiVo box by itself? It seems that when someone launches Netflix on their mobile using our Virgin WiFi the TiVo box stops playing a recording we're watching and launches the Netflix app on the TiVo box. The mobile isn't linked to the TiVo box and if we press TV on the remote it goes back to normal.,TechReviews,0.2125,3,Neutral,APPS
26-04-2017,e: Netflix launching on TiVo box by itself,TechReviews,0,3,Neutral,APPS
26-04-2017,"iVo also pulls TV episodes from various streaming services into OnePass, so if a show is on Netflix, Amazon Prime, or Hulu, it\xe2\x80\x99ll show up in the same list as your over-the-air recordings. The feature will likely be most beneficial to Hulu subscribers, given that service\xe2\x80\x99s emphasis on network television. With Netflix and Amazon, you may find that there\xe2\x80\x99s not much overlap between recorded and streaming series.",TechReviews,0.08,3,Neutral,APPS
26-04-2017,"TiVo's supply of on-demand apps continues to grow, but at the moment this includes Netflix, Amazon Instant Video with Prime, Hulu Plus (coming soon to Bolt), YouTube, Yahoo, Aol On, Vudu, Plex, Web Video Hotlist and HSN for video. Spotify, iHeartRadio and Pandora are available for music. Also, the app platform is based on the Opera web browser, and the Bolt has access to apps developed for that browser. ",TechReviews,0.166666667,3,Neutral,APPS
26-04-2017,"One of the most important features of the Bolt isn't new, but it\xe2\x80\x99s improved: it combines old-fashioned cable TV with popular online streaming services in one box. That means you can go from cable to Netflix without the common hassle of changing your TV\xe2\x80\x99s input to switch from your cable box to, say, your Apple TV or Roku.",TechReviews,0.267272727,4,Positive,APPS
26-04-2017,"For years now, TiVo has been quietly (and clumsily) integrating services like Netflix and YouTube and Amazon Prime into its boxes, but it hasn\xe2\x80\x99t boasted much about it.",TechReviews,-0.033333333,2,Negative,APPS
26-04-2017,"In fact, the whole product is faster and smoother, due to a faster processor and triple the memory, when compared to the base Roamio. Also, the user interface is now almost entirely HD, except for two subsections of the settings menu. And the platform for apps like Netflix is now HTML5 only. The company junked Flash.",TechReviews,-0.145,2,Negative,APPS
26-04-2017,"In my tests, Netflix and Amazon Prime and YouTube looked as good as they do on Apple TV and Roku. And, if I had a 4K TV, Netflix and YouTube could have looked even better, since the Bolt supports their 4K programming.",TechReviews,0.6,5,Very Positive,APPS
26-04-2017,"Well, the Bolt only offers a handful of the many, many online streaming services available from Roku or even the more-limited Apple TV: Netflix, Amazon, YouTube, Vudu, Yahoo, and popular music services including Pandora and Spotify. It doesn\xe2\x80\x99t include Hulu, which is on the Roamio, but TiVo says it expects Hulu to return once its app has been reconfigured for HTML5.",TechReviews,0.35,4,Positive,APPS
26-04-2017,"lso, there\xe2\x80\x99s a bug in the Bolt\xe2\x80\x99s Netflix app which can cause the service to freeze. TiVo says it\xe2\x80\x99s infrequent and will be fixed soon, but I ran into it and had to reboot the unit.",TechReviews,0.1,3,Neutral,APPS
26-04-2017,"Besides live television from cable, FiOS, or OTA, the Bolt can access streaming television and movies from a handful of sources. It supports Amazon Instant Video, Netflix, YouTube, Plex, Vudu, and AOL On, plus streaming music through Pandora, Spotify, and iHeartRadio. Once you've signed in to your respective accounts for the different services on the Bolt, your search results and OnePass information expands to include those services. With ",TechReviews,0.034090909,3,Neutral,APPS
26-04-2017,"\xc2\xa0video output, though you won't find this to be very useful with your cable or OTA television yet. Currently, UHD video isn't broadcast in any way over the air or through cable services. However, you can watch 4K content on Netflix and Amazon Video through the Bolt. I loaded episodes of\xc2\xa0",TechReviews,0.195,3,Neutral,APPS
26-04-2017,How to watch Netflix on your TiVo box,TechReviews,0,3,Neutral,APPS
26-04-2017,"When you activate your TiVo box on your Netflix account, you can enjoy Netflix movies and TV episodes, streamed from Netflix right to your TiVo",TechReviews,0.342857143,4,Positive,APPS
26-04-2017,ot a Netflix subscriber? No problem. Get 1 month of Netflix free! (Just follow the instructions under \xe2\x80\x9cSigning in\xe2\x80\x9d below.),TechReviews,0.5,5,Very Positive,APPS
26-04-2017,"simply sign in to your Netflix account from your TiVo box, or sign up for a free trial. You\xe2\x80\x99ll only need to sign in once. You\xe2\x80\x99ll remained signed in to Netflix until you sign out.",TechReviews,0.133333333,3,Neutral,APPS
26-04-2017,"If you are a Netflix member, select \xe2\x80\x9cMember Sign In."" If you are not yet a member, select ""Start Your FREE Trial."" ",TechReviews,0.4,4,Positive,APPS
26-04-2017,"ign in with your Netflix username and password, or follow the on-screen instructions to sign up for your free trial.",TechReviews,0.4,4,Positive,APPS
26-04-2017,That's it! You're ready to watch Netflix on\xc2\xa0your TiVo box!,TechReviews,0.25,4,Positive,APPS
26-04-2017,Watching Netflix videos on your TiVo box,TechReviews,0,3,Neutral,APPS
26-04-2017,"When you search for shows on your TiVo box, your results will include shows available from Netflix. Or, you can search Netflix directly for any show. Here\xe2\x80\x99s how",TechReviews,0.25,4,Positive,APPS
26-04-2017,"From the TiVo Central screen,\xc2\xa0select 'Apps' > 'Netflix.' ",TechReviews,0,3,Neutral,APPS
26-04-2017,Choose the Netflix experience you want: Netflix or Netflix Kids.,TechReviews,0,3,Neutral,APPS
26-04-2017,"To search for a show, move upward on the Netflix home screen until you see the 'Search' icon. Select it, and enter the first few letters of a show title. Matching titles appear as you type.",TechReviews,0.025,3,Neutral,APPS
26-04-2017,"If you need to sign out of your Netflix account on your TiVo box, follow these steps.",TechReviews,0,3,Neutral,APPS
26-04-2017,"From the TiVo Central screen,select 'Settings & Messages' > 'Help' > 'Account & System Info' > 'Video Provider Accounts' > 'Netflix Account Information.'\xc2\xa0",TechReviews,0,3,Neutral,APPS
26-04-2017,"Choose \xe2\x80\x9cDeactivate this device.\xe2\x80\x9d If you deactivate the device, you will need to sign in again the next time you want to watch Netflix on your TiVo box.",TechReviews,0,3,Neutral,APPS
26-04-2017,"4K UHD Apps \xe2\x80\x93 Though we\xe2\x80\x99re a little disappointed that 4K UHD app support is a bit scant at launch, the Bolt will support 4K UHD streams from Netflix and YouTube right away. Support for Amazon, Vudu, and other 4K UHD streaming content is expected (and needed) in the near future.",TechReviews,-0.110969388,2,Negative,APPS
26-04-2017,"upport for Apple TV and Fire TV \xe2\x80\x93 TiVo would probably prefer that you invest in one of its TiVo Mini boxes to share stored content with other televisions in the house, but with support for Apple Airplay and a new TiVo Android app available for Fire TV, you can use the streamers you might already have to access all of your recordings. The TiVo Mini is still the best tool for getting the most out of the Bolt, however, with support for SkipMode, QuickMode, and access to streaming apps like Netflix, Amazon Prime, and more.",TechReviews,0.401893939,4,Positive,APPS
26-04-2017,"iVo offers the best search feature available on the market. Simply plug the title of what you want to watch into the OneSearch box, and TiVo will show you where you can watch it and how much, if anything, it will cost you. When you search for a movie or TV show, TiVo polls your DVR recordings, live TV, VOD (in select markets), and apps like Netflix, Amazon Prime Instant, and Vudu (depending on whether you have a subscription) to show you where you can watch and if there\xe2\x80\x99s a fee involved. It\xe2\x80\x99s a great way to avoid paying twice for a flick you already paid to have access to.",TechReviews,0.329545455,4,Positive,APPS
26-04-2017,"The TiVo user experience still doesn't require a back button; this new addition is for the streaming apps like Netflix and YouTube (the back button provides the same function as the left button while in the native TiVo UI). This is undoubtedly the result of a decision by TiVo to no longer optimize the streaming apps for the TiVo experience. Whatever the impetus, it pretty much squashes any hope we might have still had for a congruous user experience.",TechReviews,0.083766234,3,Neutral,APPS
26-04-2017,"That new speed helps with more than just navigating the TiVo native UI. In fact, Netflix launches in less than eight seconds, compared to the 40 seconds it takes on the Premiere XL4. Speaking of which, the Netflix and YouTube apps have been updated; there is DIAL support, but the apps are still a little behind as the new Netflix Profiles feature still isn't supported. We also really appreciate the fact that now, when you use the TiVo search to find a show, and then choose to watch it from Netflix, it takes you directly to the show rather than to the Netflix search, like it did before. Much appreciated, no doubt, but we still long for the congruous user experience that the Xbox and Apple TV deliver, as well as all the missing streaming content from services like WatchESPN, Vudu, HBO Go, Amazon Prime, Epix, Crackle and CinemaNow. Oh, and it's crazy that the same old, worn-out Amazon Instant app is still being ported along.",TechReviews,-0.015429293,2,Negative,APPS
26-04-2017,", TiVo also has a similar function, called Smart Search, that finds every source for the content you're interested in and lists them by price. It currently searches Fox, PBS, AMC, CBS, Showtime, Hulu, Netflix, Vudu, NBC, Bravo, FX, Comedy Central and Amazon \xe2\x80\x93 as well as cable or over-the-air signals \xe2\x80\x93 for the cheapest source of whatever you want to watch.",TechReviews,0.092857143,3,Neutral,APPS
26-04-2017,"The Bolt is an increasingly competent 4K video player, too. It can currently power its way through Netflix's Ultra-HD library without breaking a sweat, and TiVo says it plans on rolling out Amazon 4K support in the near future. Admittedly, the TiVo Bolt doesn't have the same massive Ultra-HD library as, say, the ",TechReviews,0.1,3,Neutral,APPS
26-04-2017,"Finally, TiVo is finally boarding the 4K bandwagon to some surprising results. It tore through Netflix in Ultra-HD, and the company has plans to take on Amazon's 4K catalog in the coming months.",TechReviews,0.233333333,3,Neutral,APPS
