Date,text,DataSource,Polarity,SentimentScore,Sentiment,Feature
27-11-2017 07:16,"b""Don't let these prices go to waste! Skip the lines and head over to https://t.co/VPlqZ7ZU4B before the #whiteout\xe2\x80\xa6 https://t.co/7k8Up3DcxI""",SocialMedia,-0.25,2,Negative,Commerical Skip
18-11-2017 19:04,b'@erod550 Hi @erod550. Thank you for loving the SkipMode feature and for this feedback. To submit this to our develo\xe2\x80\xa6 https://t.co/92QQCUoJJh',SocialMedia,0.6,5,Very Positive,Commerical Skip
19-10-2017 16:15,b'Why wait? Get back to the good stuff with #SkipMode. https://t.co/k4F21apwVK',SocialMedia,0.35,4,Positive,Commerical Skip
18-09-2017 20:00,b'What should you watch and what should you skip this fall? Try these 15 shows and let us know what you think! https://t.co/7Zo6E6wBNh',SocialMedia,0,3,Neutral,Commerical Skip
31-08-2017 23:15,b'Get back to what you love best with #SkipMode. https://t.co/ck7JiccepN',SocialMedia,0.5,5,Very Positive,Commerical Skip
29-06-2017 21:30,b'Click it to skip it. #SkipMode https://t.co/MLtCG3hLVG',SocialMedia,0,3,Neutral,Commerical Skip
15-06-2017 17:30,"b""You don't have to leave home to go to the #movies! TiVo's #SkipMode eats commercials with a single button. https://t.co/30IYzeCXUh""",SocialMedia,-0.071428571,2,Negative,Commerical Skip
05-11-2017,"b""@r_lewis Thanks, Ricky! Who doesn't like skipping commercials?""",SocialMedia,0.25,4,Positive,Commerical Skip
05-05-2017,b'Hate those pre-commercial cliffhangers? Jump straight to the good parts with Tivo #SkipMode. https://t.co/4NriDEw7LQ',SocialMedia,0.033333333,3,Neutral,Commerical Skip
27-04-2016,"TiVo Bolt dramatically improved my Verizon FiOS TV experience. Love it!!	I am comparing TiVo Bolt with standard Verizon FiOS 320Gb DVR (not new, more expensive Quantum FiOS).Pros:1. I am not paying $28 per month to Verizon for using outdated DVR technology (1 DVR, 1 extra box) - now I am only paying Verizon $5 monthly fee for renting a CableCard in addition to programming fees.2. Amazing picture quality. It certainly seems that my TV signal quality (I have a five year old high-end 1080p Sony Bravia TV) improved dramatically.3. TiVo Bolt is way faster and has a materially better UI than my old FiOS DVR.4. I can record four shows simultaneously at the same time v. two using FiOS boxes. Recording options are way more advanced on TiVo and greatly improve the overall experience.5. Ability to search for your desired content, be it shows, movies or whatever else across all of your services (Amazon Prime, Netflix, Hulu, inter alia) is revolutionary. To that extend, I highly recommend getting a TiVo Slide Pro Remote which has a sensor-activated backlit keyboard and a Search button.6. TiVo Mini works extremely well and has no monthly fees whatsoever7. QuickMode works well but it takes time getting used to.8. The device itself is small, sleek and sexy.9. TiVO recording can be pulled up using Amazon Fire / Amazon Fire Stick allowing kids to watch recorded shows on secondary TVs (however see below)10. I now have three times (3x) more space to play with on my DVR.So-so:1. Skip Mode, which fully skips commercials with a click of a button is incredible when it is available. In my experience, it is available only on ~33% of the shows I",Amazon,0.75,5,Very Positive,Commerical Skip
"May 15, 2016","Five Stars	Love that skip mode on my Bolt.  Features great and easy to use.",Amazon,0.75,5,Very Positive,Commerical Skip
