Date,text,DataSource,Polarity,SentimentScore,Sentiment
22-11-2017 23:15,"b'Get your #turkeyday started early with 40 #Thanksgiving themed specials on @netflix! We\'re firing up some ""Friends.\xe2\x80\xa6 https://t.co/xPsuCtbiBY'",SocailMedia,0.125,3,Neutral
15-11-2017 17:43,"b""@plank10 Sorry to hear this. To make sure that the YouTube app is the only app that's having the issue, have you tr\xe2\x80\xa6 https://t.co/0s3MtZwSLg""",SocialMedia,0,3,Neutral
14-11-2017 17:38,"b""@plank10 Hello plank10! We're sorry to hear that your having issues with the YouTube app on your TiVo. We'd like to\xe2\x80\xa6 https://t.co/0D0bWZpqZU""",SocialMedia,-0.5,2,Negative
10-11-2017 18:05,b'@c_kupec Is there an error message or error code? Have you tried checking the other apps like YouTube and Amazon if\xe2\x80\xa6 https://t.co/lb3EHegwMq',SocialMedia,-0.125,2,Negative
09-11-2017 23:45,b'YouTube viewing on #TV is up 70% from last year. What does that mean for the TV industry? https://t.co/OUmJqvJR3i',SocialMedia,-0.15625,2,Negative
25-10-2017 21:23,"b'@MDsportsdoc Hello Robert! Unfortunately, YoutubeTV is not compatible with TiVo.'",SocailMedia,-0.5,2,Negative
28-09-2017 13:29,"b'RT @cleeng: Against conventional wisdom, consumers are subscribing to more premium channels, despite Netflix, AZN, Apple. Great report @tiv\xe2\x80\xa6'",SocialMedia,0.385714286,4,Positive
17-08-2017 19:45,"b""Which Netflix show cost the most \xf0\x9f\x92\xb0\xf0\x9f\x92\xb0\xf0\x9f\x92\xb0? Let's see if you can get it right! https://t.co/Fys60pAA6t""",SocailMedia,0.428571429,4,Positive
16-08-2017 21:59,"b'@haemaker *a connection to the host. After that, add the YouTube app again then force a connection one more time on\xe2\x80\xa6 https://t.co/YzstVHS601'",SocailMedia,0.5,5,Very Positive
16-08-2017 21:58,b'@haemaker Okay try a cold reboot on your mini or unplug it from power. Go to the host DVR then remove YouTube app f\xe2\x80\xa6 https://t.co/4NMafxpzKY',SocailMedia,-0.05,2,Negative
07-07-2017 18:15,b'@Marinermoose241 Hi Ryan! Can you DM us the problem with your youtube app on TiVo?',SocailMedia,0,3,Neutral
06-06-2017 22:22,"b""@coachandrew @coachandrew Hi Andrew! As of the moment, TiVo DVR's aren't compatible with YouTubeTV. But you can sug\xe2\x80\xa6 https://t.co/2FhOtrKC0G""",SocailMedia,0,3,Neutral
