Date,text,DataScource,Polarity,SentimentScore,Sentiment
20-07-2016,"\n\n\n\n\n\n\t\t\t\t\tI have a Premiere 4 with the 20.3.1 update (I will have to double check, but I believe so because I see MLB.TV is an app option now). For the past week I have had trouble Netflix. Up until that point, absolutely no problems with the app.",TechReviews,-0.1375,2,Negative
26-04-2017,"\r\nI will start streaming a movie or TV episode and the pause/play/up buttons do not do anything. The content will play fine, but when it is over I just get a black screen and I have to press the Tivo button to get back to the Tivo Menu. If I go back into Netflix, it loads and I can play content but the same issues happen. I have to reset the Tivo in order for Netflix to work properly again.",TechReviews,0.041666667,3,Neutral
26-04-2017,"\r\nIf I push the Tivo button and return home, I can go back into NetFlix and watch the next episode, but the load times make this a poor work around.\n\t\t\t\t\t",TechReviews,-0.133333333,2,Negative
26-04-2017,\n\t\t\t\t\t\n\n\n\n\n\n\n\t\t\t\t\tAn people wonder why I am leery of the 'cloud'.  There has been a total lack of transparency about this outage.  The Netflix twitter ,TechReviews,0,3,Neutral
26-04-2017,\r\nI wonder if the TiVo and Netflix issue are related?,TechReviews,0,3,Neutral
26-04-2017,An people wonder why I am leery of the 'cloud'.  There has been a total lack of transparency about this outage.  The Netflix twitter ,TechReviews,0,3,Neutral
26-04-2017,\nI wonder if the TiVo and Netflix issue are related?,TechReviews,0,3,Neutral
26-04-2017,"Yes, issue started after the rollout and has continued after the Tivo/Netflix this past weekend. Last night I had something on pause and Netflix stopped responding. Play, Pause, Up button..none of those did anything. I had to use the Tivo button to escape.",TechReviews,-0.125,2,Negative
26-04-2017,"\n Matthew: What you may want to try is unchecking Netflix in the Video Provider Listing in Channel Settings. Force a manual connection, and then recheck and try streaming from Netflix once more.""",TechReviews,0.5,5,Very Positive
26-04-2017,"\r\n Matthew: What you may want to try is unchecking Netflix in the Video Provider Listing in Channel Settings. Force a manual connection, and then recheck and try streaming from Netflix once more.""",TechReviews,0.5,5,Very Positive
26-04-2017,"\r\nDaughter left netflix paused for hours.. (luckily she shut off the TV) when we came back netflix came out of pause with the play, but then nothing worked.... except Tivo button... ( long wait for the app to shut down ).",TechReviews,0.025555556,3,Neutral
26-04-2017,"\r\nAs a control I've switched to Netflix on my PS3 with universal remote, no problem.  So it's a TiVo device or server problem.  ",TechReviews,-0.05,2,Negative
26-04-2017,\r\nPlease fix as Netflix is unusable on TiVo.\n\t\t\t\t\t,TechReviews,0,3,Neutral
26-04-2017,\n\t\t\t\t\t\n\n\n\n\n\n\n\t\t\t\t\tNot having any netflix issues here...  Been watching kid shows for 3-4 hours straight in the morning\n\t\t\t\t\t,TechReviews,0.2,3,Neutral
26-04-2017,"\n\t\t\t\t\t\n\n\n\n\n\n\n\t\t\t\t\tI had a similar problem last night, Netflix video playing OK press pause, wait 10 seconds for video to pause, press play wait 10 seconds to play. Press TiVo button and black screen followed be reboot.\n\t\t\t\t\t",TechReviews,0.083333333,3,Neutral
26-04-2017,"\nAs a control I've switched to Netflix on my PS3 with universal remote, no problem.  So it's a TiVo device or server problem.  ",TechReviews,-0.05,2,Negative
26-04-2017,\nPlease fix as Netflix is unusable on TiVo.,TechReviews,0,3,Neutral
26-04-2017,Yeah I always used my ps3 for Netflix but with the amount of Netflix I use I was afraid of burning it out or wearing it out since it runs so hot and I figured I'd just use something that is already on (the TiVo). Then these issues started. The Bluetooth remote control for the ps3 is so responsive.\n\t\t\t\t\t,TechReviews,-0.15,2,Negative
26-04-2017,"I have the Netflix channel 204 on my TiVo box, I go to the channel, press red and nothing happens.",TechReviews,0,3,Neutral
26-04-2017,I really like the idea of being able to watch Netflix but is a disappointment everytime I load the channel and...nothing.,TechReviews,0.033333333,3,Neutral
26-04-2017,e: Netflix not working on TiVo Box,TechReviews,0,3,Neutral
26-04-2017,"\n\t\t\t\n\t\t\t\t\n\t\t\t\t\t\n\t\t\t\t\t\tdo you have a netflix account? netflix is a different company and requires a different subscription cost. you can sign up online then log in via the apps on the tivo. i think you can sign up just by the netflix app, someone will have to confirm that though.\n\t\t\t\t\t\n\t\t\t\t\n\t\t\t\n\t\t\t\n\t\t\t\t\n\t\t\t\n\t\t\t\n\t\t\t\t",TechReviews,0,3,Neutral
26-04-2017,"he Netflix channel literally does nothing. Just stays on the black screen with Netflix in the middle, saying press red.",TechReviews,-0.055555556,2,Negative
26-04-2017,"It's just when we first joined virgin, they said we would have Netflix.",TechReviews,0.25,4,Positive
26-04-2017,I'm really sorry to hear you're having trouble with Netflix on one of your boxes.,TechReviews,-0.35,2,Negative
26-04-2017,"What happens if you try and use Netflix by going through the Apps menu? To do this press Home on your remote control and select Apps and Games, All Apps then Netflix.",TechReviews,-0.1,2,Negative
26-04-2017,"I'm sorry for the problems you're experiencing with Netflix at the moment, are you noticing this issue occurring at all times of the day or just some? What happens on the screen when the app crashes?\xc2\xa0",TechReviews,-0.5,2,Negative
26-04-2017,Sorry to hear you're having trouble with Netflix.,TechReviews,-0.35,2,Negative
26-04-2017,"\n\t\t\t\n\t\t\t\t\n\t\t\t\t\t\n\t\t\t\t\t\tMany issues with trying to log in to Netflix because the old email was stored , I closed the account and tried to put a visiting family members in without success, now found you can go into -system information-sign out of Netflix\n\t\t\t\t\t\n\t\t\t\t\n\t\t\t\n\t\t\t\n\t\t\t\t\n\t\t\t\n\t\t\t\n\t\t\t\t",TechReviews,0.1,3,Neutral
26-04-2017,"Welcome to the Community, I'm very sorry for the problems you're experiencing with the Netflix app on your TiVo box at the moment.\xc2\xa0",TechReviews,0.075,3,Neutral
26-04-2017,"When you sign out in the settings, are you able to log in with the correct details? If you're not sure of the details, I'd recommend going to their website to click the forgot your password link so Netflix can contact you via email.",TechReviews,0.125,3,Neutral
26-04-2017,Has anyone else experienced a problem with Netflix launching on their TiVo box by itself? It seems that when someone launches Netflix on their mobile using our Virgin WiFi the TiVo box stops playing a recording we're watching and launches the Netflix app on the TiVo box. The mobile isn't linked to the TiVo box and if we press TV on the remote it goes back to normal.,TechReviews,0.2125,3,Neutral
26-04-2017,e: Netflix launching on TiVo box by itself,TechReviews,0,3,Neutral
26-04-2017,"iVo also pulls TV episodes from various streaming services into OnePass, so if a show is on Netflix, Amazon Prime, or Hulu, it\xe2\x80\x99ll show up in the same list as your over-the-air recordings. The feature will likely be most beneficial to Hulu subscribers, given that service\xe2\x80\x99s emphasis on network television. With Netflix and Amazon, you may find that there\xe2\x80\x99s not much overlap between recorded and streaming series.",TechReviews,0.08,3,Neutral
