Date,text,DataSource,Polarity,SentimentScore,Sentiment
27-11-2017 21:07,"b""@JohnFruehe Hi @JohnFruehe. They don't. It is only allowed if you have a host TiVo BOLT VOX and a TiVo Mini VOX.""",SocialMedia,0,3,Neutral
26-11-2017 20:21,"b""@JayTruce I see. For now, we'll make sure that the CableCARD is properly activated with your TiVo BOLT+. Can you na\xe2\x80\xa6 https://t.co/O5gFpHCcNp""",SocialMedia,0.25,4,Positive
30-10-2017 21:11,"b""@Michael_Hawk19 Hello Michael! We're sorry to hear this. Please DM us the TSN of your TiVo BOLT so we can further a\xe2\x80\xa6 https://t.co/Av7EoAmwta""",SocialMedia,-0.25,2,Negative
29-10-2017 14:00,"b'The new TiVo BOLT VOX, Mini VOX, and VOX Remote are now available! Ready to #TalkToTheVOX? https://t.co/I8VWvaxozH https://t.co/gPgxBSnFoh'",SocialMedia,0.184090909,3,Neutral
28-10-2017 17:20,"b'Say it. Watch it. It\xe2\x80\x99s that easy with the all-new TiVo BOLT VOX, Mini VOX, and VOX Remote. #TalkToTheVOX https://t.co/i3zqKp1Q0U'",SocialMedia,0.166666667,3,Neutral
27-10-2017 23:10,"b'Come see everything that\xe2\x80\x99s new in the TiVo BOLT VOX, Mini VOX, and VOX Remote. Are you ready to #TalkToTheVOX?\xe2\x80\xa6 https://t.co/nvPWcgDCBd'",SocialMedia,0.078787879,3,Neutral
25-10-2017 18:30,"b'Meet TiVo BOLT VOX, the voice-powered ultimate entertainment system. #TalkToTheVOX https://t.co/XvcZ9w6wWu'",SocialMedia,0,3,Neutral
24-10-2017 20:01,b'Calling all BOLT and Roamio owners! Did you know you can take your TiVo to the next level with the new VOX Remote?\xe2\x80\xa6 https://t.co/27GGx2Sntc',SocialMedia,0.068181818,3,Neutral
24-10-2017 15:26,"b'@btiller03 Hey Brandon, you can learn more about the new TiVo BOLT VOX here: https://t.co/WTRZxWKKXo'",SocialMedia,0.318181818,4,Positive
24-10-2017 13:17,"b'Voice powers the ultimate entertainment experience in the new TiVo BOLT VOX, Mini VOX, and VOX Remote.\xe2\x80\xa6 https://t.co/1rZbd7ErEc'",SocialMedia,0.068181818,3,Neutral
24-10-2017 13:13,"b'Introducing the all-new TiVo BOLT VOX, Mini VOX, and VOX Remote, available October 29. Ready to #TalkToTheVOX? https://t.co/oqGmgoU6hf'",SocialMedia,0.166666667,3,Neutral
16-10-2017 16:24,"b'@brarob1000 Then, re-pair it in RF mode with your TiVo BOLT+. You might want to see this link for the instructions: https://t.co/r23dBCv1QU'",SocialMedia,0,3,Neutral
10-05-2017,"b""We hope you're hungry... the #TiVo Bolt+ is here and it's bigger than ever.  https://t.co/Tqg2IHx6q4""",SocialMedia,0,3,Neutral
24-09-2017 15:25,"b'@PhilEager Hi @PhilEager! Currently, we offer $99 Product Lifetime service transfer with any new TiVo BOLT purchase.'",SocialMedia,0.068181818,3,Neutral
09-07-2017,"b'The bigger, the better! #TiVoBOLT+ https://t.co/3ftmYxDq4h'",SocialMedia,0.3125,4,Positive
24-08-2017 17:43,b'@josh_in_hb Hi Josh. We are sorry to hear that about your Bolt lag. How is that connected to the home network now?',SocialMedia,-0.5,2,Negative
17-08-2017 23:15,"b""Don't stop. Won't Stop. The #TiVoBolt+ is here. https://t.co/UryYmjL1uP""",SocialMedia,0,3,Neutral
19-07-2017 14:11,b'@PatKalellis Hi Pat! The standard TiVo Bolt Remote that comes with your TiVo Bolt+ is not a learning remote.',SocialMedia,-0.066666667,2,Negative
07-08-2017,"b'Same size, but bigger. The roomier TiVo BOLT+ is here. https://t.co/pvPqHJuJrI'",SocialMedia,0,3,Neutral
07-01-2017,"b'@bama71389 Although your TiVo BOLT can connect to your network by using its built-in WiFi capability, a wired connection is preferred.'",SocialMedia,0,3,Neutral
25-06-2017 21:20,"b'@rtnewton81 To do it, go to Messages &amp; Settings&gt;Settings&gt;Recording&gt;TiVo Suggestions or on BOLTs Settings &amp; Messages\xe2\x80\xa6 https://t.co/6QbUOgv1ov'",SocialMedia,0,3,Neutral
21-06-2017 21:37,b'@DavidAShepp Your TiVo Premiere can be a client if the TiVo BOLT or TiVo Roamio OTA creates the MoCa network or if\xe2\x80\xa6 https://t.co/gOqTLi5J9u',SocialMedia,0,3,Neutral
21-06-2017 16:55,"b'@GreatScottTx Can you please ask your friend if the TiVo BOLT has a Lifetime, monthly or annual service plan when h\xe2\x80\xa6 https://t.co/bL58IAfrmO'",SocialMedia,0,3,Neutral
21-06-2017 16:31,b'@GreatScottTx @GreatScottTx! It depends on the service state of the box. Do you know the kind of Tivo service does the BOLT has?',SocialMedia,0.6,5,Very Positive
20-06-2017 20:54,"b'@thewinecoach Then, wait for the TiVo BOLT to boot up before you plug back in the other cables one at a time.'",SocialMedia,-0.0625,2,Negative
20-06-2017 20:48,"b'@thewinecoach Hi @thewinecoach! You can try to unplug everything from the TiVo BOLT, wait 30 seconds, and plug back\xe2\x80\xa6 https://t.co/7vE1wtN3am'",SocialMedia,0,3,Neutral
06-08-2017,"b""Bigger and Bolder\xe2\x80\x94that's the TiVo BOLT+. Did we mention it can record 6 shows at once? Mic drop \xf0\x9f\x8e\xa4. https://t.co/HO8kdEM66S""",SocialMedia,0,3,Neutral
25-05-2017 17:16,b'@dolfer Hi Dolf. The TiVo Bolt does have support for 4K digital resolutions.',SocialMedia,0,3,Neutral
05-10-2017,"b'Hi @daytime6976, 6 tuners TiVo devices are Roamio Pro and Bolt+. For prices, our Sales Support  can be reached at 877-367-8486.'",SocialMedia,0,3,Neutral
05-10-2017,b'@elahd I would not try to plug the RF dongle into the TiVo Bolt+. It may be causing things not to function properly.',SocialMedia,0,3,Neutral
