Date,text,DataSource,Polarity,SentimentScore,Sentiment,match
29-11-2017 23:34,"b""@DavidLC11 Hello David! There were no announcement yet regarding this concern. But once we have, we'll make sure to\xe2\x80\xa6 https://t.co/bIut7x7ofW""",SocialMedia,0.5,5,Very Positive,FALSE
29-11-2017 23:15,"b""ICYMI: The full #AWrinkleInTime movie trailer is here! Who's excited!? https://t.co/hsi9m8YQQ7""",SocailMedia,0.453125,4,Positive,
29-11-2017 20:30,"b'A new study quantifies the total profit generated by different forms of advertising, and #TV ads are still on top.\xe2\x80\xa6 https://t.co/bHrZMcBtJ6'",SocialMedia,0.045454545,3,Neutral,
29-11-2017 18:17,b'RT @Anisha_Mateo: Join us as we celebrate Senior Vice President and General Manager of the Consumer and Metadata teams at TiVo Roz Ho. @tiv\xe2\x80\xa6',SocialMedia,0.05,3,Neutral,
29-11-2017 17:30,"b""Who's ready for a live-action #StarWars #TV show? Let us know what you think! https://t.co/hDgtAdoUPd https://t.co/nmSl42WumV""",SocailMedia,0.25,4,Positive,
29-11-2017 17:10,"b""@BitburgDan Hi @BitburgDan. We're sorry to hear that you're having trouble with the TiVo Online. Can you tell us mo\xe2\x80\xa6 https://t.co/CZcwXneLHr""",SocialMedia,-0.35,2,Negative,
29-11-2017 16:06,"b""Heading to TV of Tomorrow in NYC next month? Don't miss Walt Horstman. #tvotnyc @tvotnyc @tswedlow https://t.co/ZPOELlNBBk""",SocialMedia,0,3,Neutral,
29-11-2017 02:03,b'@DotComCTO Please try again to setup your TiVo box after 24 hours and make sure it is connected to the internet alw\xe2\x80\xa6 https://t.co/Wu60Uu0tyL',SocialMedia,0.5,5,Very Positive,
29-11-2017 02:02,"b'@DotComCTO Hi @DotComCTO. We appreciate you for being our longtime customer in TiVo. However, we sincerely apologiz\xe2\x80\xa6 https://t.co/xens1g0MtX'",SocialMedia,0.5,5,Very Positive,
29-11-2017 01:15,"b'The British are coming, the British are coming! Are you watching? https://t.co/uwd6pXXMLT https://t.co/kfLsu1PvEY'",SocailMedia,0,3,Neutral,
28-11-2017 20:45,"b'Will broadcasters struggle to compete with #streaming services for ""super-premium"" productions? https://t.co/zSaTa5JVvh'",SocialMedia,0,3,Neutral,
28-11-2017 17:36,b'@eltonsaul 3.Force a connection to the TiVo service (Settings &amp; Messages &gt; Network Settings &gt; TiVo Service Connecti\xe2\x80\xa6 https://t.co/inbOPivZkx',SocialMedia,0,3,Neutral,
28-11-2017 17:35,"b'@eltonsaul Hi @eltonsaul. We apologize for the inconvenience. However, you might want to do the following troublesh\xe2\x80\xa6 https://t.co/e05mjp6E3D'",SocialMedia,0,3,Neutral,
28-11-2017 17:27,b'RT @ParksAssociates: How can operators get in front of #UX trends + innovtions in order to compete in the era of #IPTV? Join our analysts +\xe2\x80\xa6',SocialMedia,0,3,Neutral,
28-11-2017 17:15,"b""Wanna know when your favorite #TV shows will wake from their long winter naps? We've got all the info here! https://t.co/PPb56jeTCw""",SocailMedia,0.21875,3,Neutral,
28-11-2017 17:15,"b""TiVo's Roz Ho has been selected as one of @Cablefax's most #powerfulwomen in cable. Go Roz! https://t.co/NZvzyF3lnD\xe2\x80\xa6 https://t.co/otmQ2bJw0i""",SocialMedia,0.625,5,Very Positive,
28-11-2017 16:45,b'Is the future of #OTT ad-supported channels and content? https://t.co/oAUGorKVaS via @Forbes https://t.co/3dttihMUB7',SocialMedia,0,3,Neutral,
28-11-2017 02:10,b'The votes are in and the #fall #TV winner is.... https://t.co/Yml7EcRTuR',SocailMedia,0,3,Neutral,
27-11-2017 22:49,"b""@JohnFruehe Yes, that's right.""",SocialMedia,0.285714286,4,Positive,
27-11-2017 21:15,"b""We're TiVo. And we're always innovating. https://t.co/mK293qWcXS""",SocialMedia,0,3,Neutral,
27-11-2017 21:07,"b""@JohnFruehe Hi @JohnFruehe. They don't. It is only allowed if you have a host TiVo BOLT VOX and a TiVo Mini VOX.""",SocialMedia,0,3,Neutral,
27-11-2017 19:04,"b""@SpursEnergy Hi @SpursEnergy. We're sorry to hear that you're having hard time accessing your channels on your TiVo\xe2\x80\xa6 https://t.co/mD5s1zPQNs""",SocialMedia,-0.395833333,2,Negative,
